explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
-14.129223823547363,140,1,0.267922967672348,0.3166360557079315,160,7.1292290687561035
-4.409111499786377,237,2,0.3612292408943176,-0.153549924492836,320,6.238537788391113
-1.6724555492401123,309,3,0.5650836825370789,0.17907431721687317,480,5.2799882888793945
-1.2593488693237305,350,4,0.6360430121421814,-0.3970962464809418,640,3.494727611541748
-1.3850364685058594,378,5,0.7943426966667175,-0.8220402002334595,800,3.4311954975128174
-1.417771816253662,409,6,0.7678996324539185,-0.5287635326385498,960,2.36857271194458
-4.175971984863281,430,7,0.7423379421234131,0.13689957559108734,1120,2.0465588569641113
-1.496201515197754,443,8,0.7205173373222351,0.4159586429595947,1280,0.7112843990325928
-3.1572093963623047,457,9,0.5672720670700073,0.051977984607219696,1440,0.6025190353393555
0.007840335369110107,465,10,0.5179136395454407,0.019643466919660568,1600,0.6079310774803162
-2.580005168914795,462,11,0.484663188457489,-0.10869713127613068,1760,3.3052310943603516
-2.2305641174316406,473,12,0.3252532482147217,-0.4641572833061218,1920,6.872895240783691
-3.196990489959717,483,13,0.8160024881362915,-0.0684848427772522,2080,0.5870983600616455
-2.1648459434509277,492,14,0.9934417009353638,-0.253521591424942,2240,0.6945481300354004
-2.7736666202545166,500,15,0.94244384765625,-0.19631873071193695,2400,2.8871359825134277
-0.8633931875228882,507,16,1.1179108619689941,0.15759247541427612,2560,0.5753723382949829
0.05249500274658203,514,17,1.1170161962509155,0.43439364433288574,2720,1.155193567276001
-1.3787038326263428,520,18,0.7924588918685913,-0.4487704634666443,2880,2.7168068885803223
-2.041351556777954,525,19,1.2688524723052979,0.11265508085489273,3040,0.5323761105537415
-1.3871445655822754,531,20,1.4161138534545898,-0.38996922969818115,3200,0.2553378939628601
-0.8696391582489014,537,21,1.4489387273788452,0.1418338418006897,3360,0.2325577735900879
-0.5377907752990723,542,22,1.4078586101531982,0.12328940629959106,3520,0.334129273891449
-0.6022579669952393,546,23,1.3878059387207031,0.27503490447998047,3680,0.42700308561325073
-0.9273675680160522,550,24,1.374612808227539,1.7802674770355225,3840,40.08542251586914
-38276.58984375,552,25,0.6105099320411682,-0.11063935607671738,4000,127227.4609375
0.03025144338607788,556,26,0.0,0.0,4160,8.393548995993798e+30
nan,559,27,0.0,nan,4320,nan
nan,554,28,nan,nan,4480,nan
nan,557,29,nan,nan,4640,nan
nan,560,30,nan,nan,4800,nan
nan,563,31,nan,nan,4960,nan
nan,566,32,nan,nan,5120,nan
nan,568,33,nan,nan,5280,nan
nan,570,34,nan,nan,5440,nan
nan,574,35,nan,nan,5600,nan
nan,575,36,nan,nan,5760,nan
nan,576,37,nan,nan,5920,nan
nan,577,38,nan,nan,6080,nan
nan,579,39,nan,nan,6240,nan
nan,580,40,nan,nan,6400,nan
nan,580,41,nan,nan,6560,nan
nan,581,42,nan,nan,6720,nan
nan,582,43,nan,nan,6880,nan
nan,583,44,nan,nan,7040,nan
nan,585,45,nan,nan,7200,nan
nan,585,46,nan,nan,7360,nan
nan,586,47,nan,nan,7520,nan
nan,586,48,nan,nan,7680,nan
nan,587,49,nan,nan,7840,nan
nan,588,50,nan,nan,8000,nan
nan,589,51,nan,nan,8160,nan
nan,590,52,nan,nan,8320,nan
nan,590,53,nan,nan,8480,nan
nan,591,54,nan,nan,8640,nan
nan,592,55,nan,nan,8800,nan
